     LOG_10(EPS)                Tr(DK)         Total Energy         Time
              -8     -12167.0895832281     -118000.49166959       45.677
           -7.75     -12167.0895805499    -118000.491661678        38.96
            -7.5      -12167.089575871    -118000.491647856       34.202
           -7.25     -12167.0895749383    -118000.491632907       29.941
              -7     -12167.0895677008    -118000.491597134       25.222
           -6.75     -12167.0895550994    -118000.491532608         23.3
            -6.5     -12167.0895214475    -118000.491411881       19.544
           -6.25     -12167.0894735144    -118000.491190749       17.744
              -6     -12167.0893913235    -118000.490797043       15.041
           -5.75     -12167.0893875452     -118000.49021352       12.831
            -5.5     -12167.0839695444     -118000.48247072        9.605
           -5.25      -12167.083710798    -118000.480041441        7.954
              -5     -12167.0828515964    -118000.474610503         6.73
           -4.75     -12167.0846722943    -118000.469120888        5.706
            -4.5       -12167.09496221    -118000.470880319        5.135
           -4.25     -12167.1026826708    -118000.452622357        4.171
              -4     -12167.1278898773    -118000.440553632        3.323
           -3.75     -12167.1663039394    -118000.378665775        2.901
            -3.5     -12167.2203241696    -118000.209206887        2.377
#          -3.25     -12167.1028064342     -117999.50653715        2.011
              -3     -12165.4655487266                    x        1.503
           -2.75     -12164.5924156129                    x       1.2005
