  LOG_10(EPS)               Tr(DK)         Total Energy       Time
           -8    -12167.0895835708    -118000.491674972    294.742
        -7.75    -12167.0895808237    -118000.491671174    229.755
         -7.5    -12167.0895759275    -118000.491664622    183.507
        -7.25    -12167.0895747411    -118000.491663398    151.798
           -7    -12167.0895666753    -118000.491653266    117.073
        -6.75    -12167.0895526074    -118000.491637926     93.772
         -6.5    -12167.0895162624    -118000.491591278     64.444
        -6.25    -12167.0894621479    -118000.491534253     45.617
           -6    -12167.0893716181    -118000.491420473     32.992
        -5.75    -12167.0893427055    -118000.491460493     22.585
         -5.5    -12167.0891722493    -118000.491297987     15.172
        -5.25    -12167.0888444431    -118000.491022773      10.02
           -5    -12167.0879082182    -118000.490216203      7.361
        -4.75    -12167.0896645115    -118000.493345016      5.162
         -4.5    -12167.0997169306    -118000.511374772      4.074
        -4.25    -12167.1072326668    -118000.521989612      2.926
           -4    -12167.1311541786    -118000.561423688      2.184
        -3.75    -12167.1691880092    -118000.606411962      1.695
         -3.5    -12167.2095777946    -118000.642060466      1.225
        -3.25    -12167.0451587195    -118000.351125177      1.081
           -3    -12166.9782484096     -118000.15897242      0.764
        -2.75    -12166.0269128783    -117998.556704632       0.65
